ngram	t	p	p corrected	#members	meanM	StdevM	#nonMembers	meanN	StDevN
passionate	11.28775586	1.68E-29	6.28E-25	2	47	0	37309	45.85971213	19.5125352
my	-8.292985482	1.16E-16	4.69E-12	12270	44.79845151	18.73054634	28132	46.50703825	19.74237724
me	-6.389650635	1.77E-10	6.81E-06	4922	44.26533929	18.40163283	33428	46.07634319	19.635643
roof	-5.502858579	1.53E-07	5.72E-03	153	37.79084967	18.16794951	37159	45.89256977	19.51059886
daughter	-4.856314335	1.64E-06	6.11E-02	455	41.4	19.71376674	36875	45.9152	19.50151538
son	-4.767985884	2.44E-06	9.12E-02	488	41.93032787	18.29945024	36844	45.90967322	19.52111678
head	-4.729731947	4.73E-06	1.76E-01	168	39.07142857	18.63760008	37146	45.88924783	19.51075744
marriage	4.530666207	4.01E-05	1.50E+00	48	56.8125	16.75563576	37263	45.8456646	19.51154194
children	-4.136555362	4.12E-05	1.54E+00	498	42.42168675	18.67283967	36831	45.90841954	19.51706794
business	4.536379856	4.35E-05	1.62E+00	45	55.71111111	14.56899295	37267	45.84825717	19.51424192
je	4.88831671	1.62E-04	6.06E+00	17	57.58823529	9.887231814	37298	45.85562229	19.51308203
gave	-3.842427395	1.71E-04	6.39E+00	171	40.28654971	19.00602986	37143	45.88476967	19.51051212
sad	-4.914399664	1.86E-04	6.95E+00	16	28	14.53730832	37295	45.86743531	19.51051312
our	3.724876095	2.24E-04	8.36E+00	385	49.39220779	18.7038165	36946	45.8214421	19.51572793
began	-6.248043383	2.43E-04	9.08E+00	9	29.11111111	8.038103701	37302	45.86381427	19.51227801
over	-3.700405113	2.48E-04	9.27E+00	358	42.27094972	18.43382577	36961	45.89561971	19.51800652
every	3.687266299	2.90E-04	1.08E+01	203	50.57142857	18.24119404	37114	45.83593792	19.51561739
animals	-3.972332022	3.06E-04	1.14E+01	39	33.76923077	19.01725192	37272	45.87242434	19.50884974
sweater	-11.31954437	3.39E-04	1.26E+01	5	21.4	4.827007354	37307	45.86227786	19.51151319
mom	-3.565474157	4.07E-04	1.52E+01	394	42.55837563	18.45048096	36926	45.89229811	19.5223939
husband	3.536480661	4.20E-04	1.57E+01	1212	47.70957096	18.31709343	36166	45.81369242	19.54831629
because	-3.527036834	4.60E-04	1.72E+01	474	42.88818565	18.45462259	36856	45.89931083	19.5220015
just	3.54916663	4.64E-04	1.73E+01	240	49.85	17.45701235	37078	45.83448406	19.52193643
mon	4.433131229	5.63E-04	2.10E+01	15	56.93333333	9.669293568	37300	45.85651475	19.51307174
sarah	-3.967055018	5.70E-04	2.13E+01	25	36.2	12.17237309	37287	45.86601228	19.51429936
sister	-3.463254232	6.65E-04	2.48E+01	182	41.09340659	18.60247297	37132	45.88177313	19.51382847
a	-3.387419971	7.08E-04	2.74E+01	6615	45.25925926	18.58633436	32115	46.11798225	19.66505667
companionship	6.174368828	8.26E-04	3.08E+01	7	72.85714286	11.56760666	37304	45.85470727	19.50978762
de	3.469180891	8.41E-04	3.14E+01	81	51.91358025	15.69967956	37256	45.85175542	19.51399172
appreciates	4.664588172	8.86E-04	3.31E+01	11	68.09090909	15.80793817	37300	45.85321716	19.50943814
towards	4.094425379	9.54E-04	3.56E+01	16	61	14.79188967	37295	45.85327792	19.51142328
she	-3.284592699	0.001092099	4.08E+01	492	43.13211382	18.55450564	36880	45.89989154	19.52030302
quality	3.516326253	0.001102259	4.11E+01	41	55.17073171	16.96010383	37271	45.85017842	19.51252815
would	-3.295668254	0.001140693	4.26E+01	223	41.82959641	18.28472565	37112	45.87871847	19.51587062
food	-3.27309852	0.001210837	4.52E+01	252	42.13492063	18.1177438	37064	45.88525254	19.51847622
lee	5.13971401	0.001333499	4.98E+01	8	65.625	10.87510263	37304	45.85634248	19.51175284
garage	-4.793548635	0.001359759	5.07E+01	9	29.88888889	9.993053143	37302	45.86362662	19.51224167
gets	3.573772614	0.001606651	5.99E+01	24	57.5	15.95918708	37287	45.85228096	19.51203137
rent	-3.337227818	0.001618181	6.04E+01	50	37.68	17.33986795	37262	45.87059202	19.51243136
place	-3.194652373	0.001623989	6.06E+01	201	41.67661692	18.60752269	37113	45.88198205	19.51393003
suis	5.370735268	0.001659426	6.19E+01	7	53.71428571	3.860668583	37305	45.85857124	19.51329563
dog	-3.142578908	0.001889191	7.05E+01	234	41.78632479	19.89730245	37084	45.88633912	19.50638737
ended	4.026593537	0.001984556	7.40E+01	12	57.91666667	10.37004719	37299	45.85589426	19.51314121
ma	3.484664931	0.00199707	7.45E+01	24	56.83333333	15.42912736	37290	45.85288281	19.51191619
greeted	3.755383166	0.00211966	7.91E+01	15	55.33333333	9.766317237	37296	45.85596311	19.51409488
conditioning	-4.527419506	0.002701709	1.01E+02	8	24.625	13.26582613	37303	45.86432727	19.51078139
